neighbourhood,price

James Bay,1505.0

Rockland,1100.0

South Jubilee,1200.0

North Jubilee,1100

Fernwood,1681.6666666666667

Victoria West,1962.5

Downtown,1160.0

Oaklands,2700.0

Harris Green,1200

Hillside/Quadra,1350.0

Burnside,1243.75

North Park,1425.0

Fairfield,1659.4444444444443

Gonzales,2500.0

